"variable","center"
"dim_1",0.0694059173942135
"dim_2",-0.00818484500883481
"dim_3",0.00318805799188673
"dim_4",0.0867520137162056
"dim_5",0.0525229320458089
"dim_6",-0.0273283434285442
"dim_7",0.0725590546801314
"dim_8",0.0173312388665421
"dim_9",0.0468911447218592
"dim_10",0.00102535456718096
"dim_11",0.0500572163888157
"dim_12",0.0352995179456293
"dim_13",0.0132838482314748
"dim_14",-0.0123852542385877
"dim_15",0.0380756456136599
"dim_16",0.0314085255085205
"dim_17",-0.00192280738913933
"dim_18",0.0143936159072589
"dim_19",-0.0551967955291832
"dim_20",0.0519359931549986
"dim_21",-0.0530114888165675
"dim_22",-0.0208382804715714
"dim_23",-0.0369576334240604
"dim_24",0.0153746084876431
"dim_25",0.00567723756026442
"dim_26",0.00318751601657834
"dim_27",0.00911154574921925
"dim_28",-0.023510514358496
"dim_29",-0.0750834999278351
"dim_30",-0.00298369246718521
"dim_31",-0.000808918438017071
"dim_32",-0.029234968259854
"dim_33",0.00426267777678521
"dim_34",0.0393464069216062
"dim_35",0.0162667644129592
"dim_36",0.0497950772165825
"dim_37",0.000580084649431008
"dim_38",0.0402459882210041
"dim_39",-0.0136891831256879
"dim_40",-0.0425229829097213
"dim_41",-0.038409630122074
"dim_42",0.0203362562352071
"dim_43",0.0213025660120899
"dim_44",0.01138943663857
"dim_45",-0.0617368468254729
"dim_46",-0.0197048528743619
"dim_47",-0.00985542372022909
"dim_48",0.00335146798748012
"dim_49",0.0382017414461801
"dim_50",-0.103903057494277
"dim_51",-0.0160918046652025
"dim_52",0.00358807663025081
"dim_53",-0.0415331543003854
"dim_54",-0.0253615380150944
"dim_55",-0.00015868616228814
"dim_56",-0.00919828739255541
"dim_57",0.00335451140651139
"dim_58",0.0115733194611694
"dim_59",-0.00868013014891239
"dim_60",0.0342760739807428
"dim_61",0.0199365511052118
"dim_62",-0.017998569426052
"dim_63",-0.0146479600811772
"dim_64",0.00259537469833513
"dim_65",0.0555116915998891
"dim_66",0.0155447075088444
"dim_67",-0.0173948219470621
"dim_68",-0.0329923633887955
"dim_69",-0.0114889908695715
"dim_70",-0.0403328096345538
"dim_71",0.072730516409214
"dim_72",0.0532368907077962
"dim_73",-0.0347236522879808
"dim_74",0.0112578237309072
"dim_75",0.0830926036343755
"dim_76",-0.0208610557711793
"dim_77",0.0135964893006711
"dim_78",0.00975648818480945
"dim_79",0.0368070363334453
"dim_80",0.042291024219696
"dim_81",0.0102239364685958
"dim_82",0.0478057568339399
"dim_83",-0.0334339898993098
"dim_84",-0.00836513601863616
"dim_85",-0.0923196391194086
"dim_86",-0.0180067300386845
"dim_87",-0.00645624248351495
"dim_88",0.0264237808339846
"dim_89",-0.0282260581796758
"dim_90",-0.0258333623862419
"dim_91",-0.0582869759420566
"dim_92",0.0326795738799884
"dim_93",0.00962831755519634
"dim_94",0.0105093500082491
"dim_95",0.016495975746003
"dim_96",-0.0358096103961943
"dim_97",-0.0171152835258883
"dim_98",0.0162999558298383
"dim_99",-0.0235948312318644
"dim_100",0.0653292526888754
"dim_101",0.0615862474455717
"dim_102",0.0715838644234553
"dim_103",0.0490158831574166
"dim_104",0.0325118235790599
"dim_105",0.0752221463611946
"dim_106",0.0142565991354834
"dim_107",0.0477953283652733
"dim_108",-0.0733381924414214
"dim_109",-0.0460971087529669
"dim_110",-0.0260114081021263
"dim_111",-0.0480386089438103
"dim_112",-0.0213522935842295
"dim_113",-0.0103475066860858
"dim_114",0.0047695230022665
"dim_115",-0.0150513681504721
"dim_116",-0.045303960469917
"dim_117",0.00433597930157442
"dim_118",0.0400245417752512
"dim_119",0.000997058345157585
"dim_120",0.0820553395051018
"dim_121",-0.0220602137426263
"dim_122",-0.0225160715497514
"dim_123",0.00421644957249869
"dim_124",0.0113732239170225
"dim_125",0.0373439759882951
"dim_126",-0.0784569334878903
"dim_127",0.00227136184582003
"dim_128",0.00673793461403598
"dim_129",0.0203127083893481
"dim_130",0.033531403693074
"dim_131",-0.0073073775325865
"dim_132",0.0287822152349243
"dim_133",0.0662514429455906
"dim_134",-0.0176986010005523
"dim_135",-0.00577728127575885
"dim_136",0.0203014712443096
"dim_137",0.0273863199007688
"dim_138",0.0265663490578327
"dim_139",0.0456591538764634
"dim_140",-0.00476461099624775
"dim_141",0.00847184429122948
"dim_142",0.0547800663527848
"dim_143",0.00784164512348335
"dim_144",0.0492268847985412
"dim_145",-0.0339174791453649
"dim_146",-0.00589793525954504
"dim_147",-0.00109761831832809
"dim_148",0.0321128470637681
"dim_149",-0.0184051068880351
"dim_150",0.00123978036419977
"dim_151",0.0190058131345029
"dim_152",-0.0260185540030403
"dim_153",-0.000178501974539793
"dim_154",-0.00785075829530374
"dim_155",0.00117317197685042
"dim_156",-0.00510571257154793
"dim_157",-0.0211171204948198
"dim_158",0.00880202731533942
"dim_159",-0.0738343654653507
"dim_160",0.0346972093249931
"dim_161",0.0190284080952135
"dim_162",0.0407185897894585
"dim_163",-0.0372210774316091
"dim_164",-0.00793419989014951
"dim_165",-0.0097414172480279
"dim_166",0.0291543717976461
"dim_167",-0.0527176361114175
"dim_168",-0.0213983940397426
"dim_169",-0.0250292742373529
"dim_170",-0.0201980201398682
"dim_171",0.0268430031271217
"dim_172",-0.0110643118554319
"dim_173",0.00238387416978912
"dim_174",0.00927965728039342
"dim_175",0.0182081620994097
"dim_176",-0.0148383915449465
"dim_177",-0.0850038369307108
"dim_178",0.0733549705392346
"dim_179",-0.0374601254475276
"dim_180",-0.021686544123496
"dim_181",0.00620484960848801
"dim_182",0.0032917597795084
"dim_183",-0.0756734811175861
"dim_184",0.0149442015433038
"dim_185",-0.0213422974067848
"dim_186",0.00393380519431666
"dim_187",0.0141336014321138
"dim_188",-0.0201903566193402
"dim_189",0.030832773644252
"dim_190",-0.0529271712060895
"dim_191",-0.0257381256760838
"dim_192",-0.0220831826573328
"dim_193",0.0419648939217887
"dim_194",0.0147558432501396
"dim_195",-0.039326263550133
"dim_196",-0.0049769850367692
"dim_197",0.0437827025460138
"dim_198",0.0202688992095051
"dim_199",0.00338326529399203
"dim_200",0.0475961702607417
"dim_201",-0.0924296736170677
"dim_202",0.00100655986239158
"dim_203",0.0411774005160763
"dim_204",-0.00681673444510068
"dim_205",0.0158004048550588
"dim_206",-0.0321399554078247
"dim_207",0.0178472310241744
"dim_208",-0.0143739224448921
"dim_209",0.0615601773343233
"dim_210",0.000553937292540252
"dim_211",0.00308745985460467
"dim_212",0.0489020278503786
"dim_213",-0.0124882096402996
"dim_214",-0.0110703129862952
"dim_215",0.0159953837157868
"dim_216",0.0283835942238701
"dim_217",-0.0753631897968671
"dim_218",0.0894995005835446
"dim_219",0.0118556861887399
"dim_220",0.0306724078561442
"dim_221",0.0418962346634067
"dim_222",-0.110582137844981
"dim_223",-0.0204611037387719
"dim_224",-0.0559960026631493
"dim_225",-0.00419225008590282
"dim_226",-0.036865469725549
"dim_227",-0.000433685625811209
"dim_228",-0.0351492814675863
"dim_229",-0.00549554041796106
"dim_230",-0.0157669623561632
"dim_231",-0.011787713630852
"dim_232",-0.00344197204706564
"dim_233",-0.0303552262276731
"dim_234",0.0528601747497779
"dim_235",-0.0696424044262796
"dim_236",-0.0485504927963701
"dim_237",0.0595706033205374
"dim_238",0.0170662596066588
"dim_239",-0.0172715771486306
"dim_240",0.0203670904997407
"dim_241",-0.0194752110059041
"dim_242",-0.0547941816940707
"dim_243",0.00583818169708005
"dim_244",0.0267229187156971
"dim_245",-0.0382215346563038
"dim_246",0.0191643301216646
"dim_247",-0.0309540786552103
"dim_248",-0.0297962084069728
"dim_249",0.0265103942291104
"dim_250",0.0392756061437846
"dim_251",0.0606444660601425
"dim_252",-0.0393980728926515
"dim_253",-0.0458853055179183
"dim_254",-0.0131945720547852
"dim_255",-0.0750285755713381
"dim_256",0.0264227826683148
"dim_257",-0.00565534723112174
"dim_258",-0.0188182424891038
"dim_259",0.0259920163879215
"dim_260",0.0127851273088471
"dim_261",-0.0647571745375013
"dim_262",-0.000912983219018874
"dim_263",-0.05218563677519
"dim_264",-0.00255812445530713
"dim_265",-0.0324078751866054
"dim_266",0.0241029856453236
"dim_267",-0.0495025587113164
"dim_268",-0.0294472681039551
"dim_269",0.0189695548585088
"dim_270",0.00147731669175104
"dim_271",-0.017432680554487
"dim_272",-0.0146414719892919
"dim_273",0.0214799137949776
"dim_274",0.0268078488965241
"dim_275",-0.0218804722144294
"dim_276",-0.00930295062409034
"dim_277",0.0180108202448841
"dim_278",-0.00906518288330036
"dim_279",0.0127348685665418
"dim_280",-0.0278062930845844
"dim_281",-0.0415845708585031
"dim_282",0.000100043850262246
"dim_283",0.0318112306502285
"dim_284",0.0332184861489041
"dim_285",0.0210381934258636
"dim_286",-0.0133214483788199
"dim_287",-0.0201141488227914
"dim_288",0.0501018924111483
"dim_289",0.0578609649381937
"dim_290",-0.0104866890338618
"dim_291",-0.0741177978590056
"dim_292",0.0715046340815489
"dim_293",-0.0333149392665587
"dim_294",0.0143304856651911
"dim_295",-0.0101057163109614
"dim_296",-0.0428706349058428
"dim_297",-0.0233752020392157
"dim_298",0.0104873448505537
"dim_299",0.0186921217546779
"dim_300",0.0748038874990601
"dim_301",0.0413432130763482
"dim_302",-0.0459226976482709
"dim_303",-0.0334376253281825
"dim_304",-0.0400332754090613
"dim_305",0.00548933369482436
"dim_306",-0.0572454613116679
"dim_307",0.0113325682415816
"dim_308",0.0109187981248232
"dim_309",0.00684978052577341
"dim_310",-0.0370837053683371
"dim_311",-0.0397238792467286
"dim_312",0.00405154464534915
"dim_313",-0.00935058759339192
"dim_314",0.0507201435913225
"dim_315",0.0276779536038329
"dim_316",0.0107391760633983
"dim_317",-0.0463867953187301
"dim_318",0.00710780442020263
"dim_319",-0.00150773352033093
"dim_320",-0.0808077143856342
"dim_321",-0.0380675431958092
"dim_322",-0.0223887964595543
"dim_323",-0.020310333514785
"dim_324",0.000416661159415069
"dim_325",0.0332027568371595
"dim_326",-0.0405903161212734
"dim_327",0.0758429726276795
"dim_328",-0.048720732143168
"dim_329",-0.0803271209396949
"dim_330",0.0568396742997819
"dim_331",-0.0933011654298886
"dim_332",-0.0282252420278337
"dim_333",0.00236960539393705
"dim_334",-0.00360370576521301
"dim_335",0.001380578937531
"dim_336",0.0499445876692439
"dim_337",-0.0272550222552928
"dim_338",-0.0211105969322228
"dim_339",-0.029723162128504
"dim_340",0.0511296497138673
"dim_341",0.0788344032934381
"dim_342",-0.0182298566623326
"dim_343",-0.00501946459258071
"dim_344",0.0405673626075168
"dim_345",-0.00251672312277185
"dim_346",0.00110597078428495
"dim_347",-0.03040517443924
"dim_348",-0.0399398791989751
"dim_349",-0.0362271735035949
"dim_350",-0.00359005569376588
"dim_351",0.0116732017937842
"dim_352",0.0486419178116141
"dim_353",-0.0286749162916851
"dim_354",0.00133255265264449
"dim_355",-0.00277949484400484
"dim_356",0.0151034980300182
"dim_357",0.0422211362152141
"dim_358",-0.00498451631662844
"dim_359",-0.0167863788317486
"dim_360",-0.0373983754923673
"dim_361",-0.0255276806951609
"dim_362",-0.00499275727332862
"dim_363",0.0270892141820011
"dim_364",0.0694685865662019
"dim_365",0.00594371941858149
"dim_366",0.00531045080307342
"dim_367",0.0257504711991957
"dim_368",-0.00489574654304116
"dim_369",-0.0591072038846825
"dim_370",-0.00682386129276005
"dim_371",0.0387272859719029
"dim_372",-0.0100788915122942
"dim_373",0.0129856713321295
"dim_374",0.01198759003222
"dim_375",0.0157103550867874
"dim_376",-0.00893148331897739
"dim_377",0.0226791604014154
"dim_378",0.0821215873984406
"dim_379",-0.0597144308082988
"dim_380",0.00805556131005683
