"variable","scale"
"dim_1",0.0328144991088141
"dim_2",0.0356784632933748
"dim_3",0.0332118952944793
"dim_4",0.0335829942413421
"dim_5",0.0326980941179669
"dim_6",0.0326771080855168
"dim_7",0.0408538493076042
"dim_8",0.0286977764807819
"dim_9",0.0317158511448345
"dim_10",0.0313583243616745
"dim_11",0.0311893297797644
"dim_12",0.0341276197777955
"dim_13",0.0273664368537373
"dim_14",0.0301005683249883
"dim_15",0.0554060871253448
"dim_16",0.0304954146431782
"dim_17",0.0430025441377523
"dim_18",0.0269411585326124
"dim_19",0.0365353835679754
"dim_20",0.0362932091593999
"dim_21",0.0361388466637411
"dim_22",0.0325039143289938
"dim_23",0.0513234219979491
"dim_24",0.0385716730151947
"dim_25",0.0425164083312208
"dim_26",0.0342244701314779
"dim_27",0.0361918708961536
"dim_28",0.0295918760662223
"dim_29",0.0282262773634464
"dim_30",0.0367848958851247
"dim_31",0.0295080243624296
"dim_32",0.0414953258906692
"dim_33",0.0390122158255767
"dim_34",0.0397260966699727
"dim_35",0.0383809470644544
"dim_36",0.0293198044052157
"dim_37",0.0292088047735699
"dim_38",0.0298109181924411
"dim_39",0.0299258382201074
"dim_40",0.0307606635557694
"dim_41",0.0255946715930008
"dim_42",0.0308933923490841
"dim_43",0.0289769398258617
"dim_44",0.0313927582582404
"dim_45",0.0320337490161978
"dim_46",0.0228598496614398
"dim_47",0.0369696018208861
"dim_48",0.0239950017645337
"dim_49",0.0295767144572481
"dim_50",0.0367704922278031
"dim_51",0.0388182119952639
"dim_52",0.0303317681051839
"dim_53",0.0302832375735839
"dim_54",0.0362700112413421
"dim_55",0.0297777443425196
"dim_56",0.0372211879564636
"dim_57",0.0451557342712807
"dim_58",0.0356647561262267
"dim_59",0.0332805777812474
"dim_60",0.0297242111526737
"dim_61",0.0329056151439938
"dim_62",0.0338880201409203
"dim_63",0.0306561535196408
"dim_64",0.0247155377349315
"dim_65",0.0375233548384304
"dim_66",0.0446300525463322
"dim_67",0.024419932783603
"dim_68",0.0378561081520047
"dim_69",0.0379125252745955
"dim_70",0.0399492575460191
"dim_71",0.0319795110865137
"dim_72",0.0281572696125807
"dim_73",0.0334342979346816
"dim_74",0.0353828699401572
"dim_75",0.0374440661091613
"dim_76",0.0400181083746575
"dim_77",0.0323706516943192
"dim_78",0.0308537735336894
"dim_79",0.0373232037671926
"dim_80",0.0393543293674048
"dim_81",0.0309573645472935
"dim_82",0.0431974791740612
"dim_83",0.032706400933264
"dim_84",0.0333615794655957
"dim_85",0.0291487036555927
