"componente","sdev"
"PC1",6.97653998691797
"PC2",5.36977684592362
"PC3",5.13738716217159
"PC4",4.5984695770779
"PC5",4.53761615064932
"PC6",4.19932403134352
"PC7",4.0574677468918
"PC8",3.94558188627981
"PC9",3.82500844784184
"PC10",3.57329910052181
"PC11",3.32891924506006
"PC12",3.24632899108968
"PC13",3.03892008919521
"PC14",2.94288642218346
"PC15",2.79749127931138
"PC16",2.70641005043392
"PC17",2.59852314104906
"PC18",2.52252129605291
"PC19",2.44751710045041
"PC20",2.41082170031252
"PC21",2.29417327592001
"PC22",2.2846583872094
"PC23",2.19185394446004
"PC24",2.09201661622368
"PC25",2.05818762760887
"PC26",1.95525921775097
"PC27",1.9331502377977
"PC28",1.91509107247845
"PC29",1.78866340364469
"PC30",1.77275839364594
"PC31",1.63697707004309
"PC32",1.59064670518137
"PC33",1.57721524476149
"PC34",1.5418222476256
"PC35",1.480429206831
"PC36",1.38135938472992
"PC37",1.33736220535402
"PC38",1.3196336068981
"PC39",1.29616997408544
"PC40",1.26227669718644
"PC41",1.203200087078
"PC42",1.13776325815562
"PC43",1.08989286295828
"PC44",1.07878757964767
"PC45",0.997149721463112
"PC46",0.982736694631948
"PC47",0.946007644590261
"PC48",0.941754382824672
"PC49",0.910146300261964
"PC50",0.859484139937987
"PC51",0.830072410963025
"PC52",0.818863821699876
"PC53",0.787084659942912
"PC54",0.744606643953432
"PC55",0.724460475433921
"PC56",0.700489262291359
"PC57",0.665603447895201
"PC58",0.650545208070986
"PC59",0.640390058263513
"PC60",0.618638033730103
"PC61",0.577856192336211
"PC62",0.558775023370517
"PC63",0.535191409953233
"PC64",0.499203979345909
"PC65",0.49291213448825
"PC66",0.481429779351751
"PC67",0.478161132258659
"PC68",0.444935928240963
"PC69",0.43623043174928
"PC70",0.418343240247117
"PC71",0.385785985412252
"PC72",0.368601709242803
"PC73",0.353553081139629
"PC74",0.333651042473738
"PC75",0.309585057742763
"PC76",0.284331121691388
"PC77",0.274341832040133
"PC78",0.244989562608495
"PC79",0.236489366647811
"PC80",0.235418130678531
"PC81",0.209183973372172
"PC82",0.203963653029043
"PC83",0.180971640620035
"PC84",0.170693466483353
"PC85",0.153098950083863
"PC86",0.143922413102472
"PC87",0.120589717208478
"PC88",0.110642277376753
"PC89",0.107452363872451
"PC90",0.10694243748064
"PC91",0.0941414543045089
"PC92",0.0857165708478003
"PC93",0.0665106340321572
"PC94",0.0581696731056925
"PC95",1.34633554387773e-15
"PC96",9.96490584005081e-16
"PC97",9.43337674744252e-16
"PC98",5.40647414233864e-16
"PC99",5.40647414233864e-16
"PC100",5.40647414233864e-16
"PC101",5.40647414233864e-16
"PC102",5.40647414233864e-16
"PC103",5.40647414233864e-16
"PC104",5.40647414233864e-16
"PC105",5.40647414233864e-16
"PC106",5.40647414233864e-16
"PC107",5.40647414233864e-16
"PC108",5.40647414233864e-16
"PC109",5.40647414233864e-16
"PC110",5.40647414233864e-16
"PC111",5.40647414233864e-16
"PC112",5.40647414233864e-16
"PC113",5.40647414233864e-16
"PC114",5.40647414233864e-16
"PC115",5.40647414233864e-16
"PC116",5.40647414233864e-16
"PC117",5.40647414233864e-16
"PC118",4.94838747610381e-16
"PC119",3.09856835302384e-16
"PC120",2.93329040143015e-16
