dimension,center
1,0.0694059173942135
2,-0.0081848450088348
3,0.0031880579918867
4,0.0867520137162056
5,0.0525229320458089
6,-0.0273283434285442
7,0.0725590546801314
8,0.0173312388665421
9,0.0468911447218592
10,0.0010253545671809
11,0.0500572163888157
12,0.0352995179456293
13,0.0132838482314748
14,-0.0123852542385877
15,0.0380756456136599
16,0.0314085255085205
17,-0.0019228073891393
18,0.0143936159072589
19,-0.0551967955291832
20,0.0519359931549986
21,-0.0530114888165675
22,-0.0208382804715714
23,-0.0369576334240604
24,0.0153746084876431
25,0.0056772375602644
26,0.0031875160165783
27,0.0091115457492192
28,-0.023510514358496
29,-0.0750834999278351
30,-0.0029836924671852
31,-0.000808918438017
32,-0.029234968259854
33,0.0042626777767852
34,0.0393464069216062
35,0.0162667644129592
36,0.0497950772165825
37,0.000580084649431
38,0.0402459882210041
39,-0.0136891831256879
40,-0.0425229829097213
41,-0.038409630122074
42,0.0203362562352071
43,0.0213025660120899
44,0.01138943663857
45,-0.0617368468254729
46,-0.0197048528743619
47,-0.009855423720229
48,0.0033514679874801
49,0.0382017414461801
50,-0.103903057494277
51,-0.0160918046652025
52,0.0035880766302508
53,-0.0415331543003854
54,-0.0253615380150944
55,-0.0001586861622881
56,-0.0091982873925554
57,0.0033545114065113
58,0.0115733194611694
59,-0.0086801301489123
60,0.0342760739807428
61,0.0199365511052118
62,-0.017998569426052
63,-0.0146479600811772
64,0.0025953746983351
65,0.0555116915998891
66,0.0155447075088444
67,-0.0173948219470621
68,-0.0329923633887955
69,-0.0114889908695715
70,-0.0403328096345538
71,0.072730516409214
72,0.0532368907077962
73,-0.0347236522879808
74,0.0112578237309072
75,0.0830926036343755
76,-0.0208610557711793
77,0.0135964893006711
78,0.0097564881848094
79,0.0368070363334453
80,0.042291024219696
81,0.0102239364685958
82,0.0478057568339399
83,-0.0334339898993098
84,-0.0083651360186361
85,-0.0923196391194086
86,-0.0180067300386845
87,-0.0064562424835149
88,0.0264237808339846
89,-0.0282260581796758
90,-0.0258333623862419
91,-0.0582869759420566
92,0.0326795738799884
93,0.0096283175551963
94,0.0105093500082491
95,0.016495975746003
96,-0.0358096103961943
97,-0.0171152835258883
98,0.0162999558298383
99,-0.0235948312318644
100,0.0653292526888754
101,0.0615862474455717
102,0.0715838644234553
103,0.0490158831574166
104,0.0325118235790599
105,0.0752221463611946
106,0.0142565991354834
107,0.0477953283652733
108,-0.0733381924414214
109,-0.0460971087529669
110,-0.0260114081021263
111,-0.0480386089438103
112,-0.0213522935842295
113,-0.0103475066860858
114,0.0047695230022665
115,-0.0150513681504721
116,-0.045303960469917
117,0.0043359793015744
118,0.0400245417752512
119,0.0009970583451575
120,0.0820553395051018
121,-0.0220602137426263
122,-0.0225160715497514
123,0.0042164495724986
124,0.0113732239170225
125,0.0373439759882951
