embedding_dimension,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
1,-0.05428136825576579,0.04965133751443539,0.03508035157455429,-0.07497621647428153,0.03891106764040243,-0.04284085037637452,-0.030299822852567774,-0.01420946987419062,-0.0724240636830926,-0.022143459649118354,-0.036370546515989234,0.03308648533643347,-0.016396635583361057,0.06562904172535797,0.10499442948588486,-0.03642794399768946,0.028410038966296278,-0.014528800138281001,-0.06330458477161778,0.033945839353067914,0.10979692842366659,-0.04410953239130801,0.005750539792382318,-0.07769786241660061,-0.03194370339238017,0.024225241165478584,0.0257997248207651,-0.010907794511473168,-0.05974766520461419,-0.02117042538552847,-0.04083386320995361,-0.03142433666746914,0.07063303175951428,-0.02054992202685542,0.04590401213997113,0.004791294845134746,-0.014640691181383043,0.017626268216415,0.14979687127744742,0.1000532984633761,-0.09644268660111953,0.022455952404189437,0.03898914385208816,0.090816542637185,-0.08225294294354708,-0.058988027205146155,-0.012138614062866605,0.06511230151186086,0.0033637607507259093,0.06586620995414613,-0.02737470975667268,-0.0305769449840477,-0.02240624415893646,0.12910426414397572,0.006606880857815553,-0.009316443502942794,-0.0798206570524006,-0.0016834606152988472,0.01691604469897479,-0.12059013166450065
2,0.0683951940504545,0.011804229673011825,0.03128555476066685,-0.04183776993378587,0.05333394831500148,0.004072553531268728,0.08681223096858298,0.04015892512739705,-0.08748868098721944,0.05496588544468165,0.057301830708574704,0.018448584998495297,-0.006516159137383161,0.03866175737821513,0.03771367327311139,-0.044825631508555785,-0.02824819834309869,-0.024076696013521654,-0.03545956989392987,0.11136673910876708,-0.04692778338404013,-0.059533131274085827,0.05276364948152559,0.0056867203365060385,0.023408287814498236,0.01564275900264499,-0.039514722498820855,0.028967523889005312,-0.008855479051474756,-0.09499731432986469,0.10202236070245091,0.01812650671697854,0.035716376776372794,0.05963955878822775,-0.017943273591421602,0.005752488274995382,0.06597647238413502,0.022892870355252663,0.009409870852639151,0.016076923607744324,0.02423548121863799,-0.036745434524526825,0.02491488107021698,0.012274151881292673,0.055193977609287265,0.06993829464929908,-0.03586306220311583,-0.005318510168374859,-0.0011186091998914658,-0.016345070757400087,0.10741104251185545,0.032738740083579375,-0.08986508539607387,0.05475137471183066,0.06664122434693985,0.05767740527493202,-0.01146392737961776,0.0317504729487675,-0.04364785780912454,-0.07153182009998868
3,0.01907995087102443,0.050495555848936384,0.13322884372162477,-0.03495059947106137,0.026294658493019218,0.01971800991995014,0.0012116991079829961,-0.04901758068245793,0.007691412117425347,-0.00567686996468348,-0.04149776314420236,-0.061444586311866584,-0.042581505301947806,-0.03002514908194886,-0.09615514058167572,0.04058797170049168,-0.020888705120364077,-0.04242198586283294,-0.06386027016298947,-0.040128088841573546,-0.04921127862323783,0.012608923464660483,-0.08166812006442452,0.035619514943059,-0.02834591287775711,0.009944875766330753,0.00017324909123707594,0.020553806540688998,-0.08481577461418266,0.0012544349379159595,-0.01772193512708464,-0.02432827350816751,-0.025105830136680746,0.005033977166019076,0.030455708215551,0.005665672421133587,-0.028871289375019635,0.0021787462730142137,0.02570103274272401,0.018776891116536455,-0.052555574731151834,0.014415229229923054,-0.008121522314602172,0.09085446786458791,0.05311713204584554,-0.07748531058412106,0.004452513401879093,-0.026795583248835915,-0.003315185003942548,0.03470196396440315,-0.007451357136893043,0.06611312791591466,-0.003329173732685178,-0.14109675320643797,0.07264139101667619,-0.02478603482100946,0.004311898364524574,0.02826376777015016,0.07009860760871019,0.03578198195829907
4,0.026894409792999497,0.00011004089218722012,0.09056710514902469,0.08688172763030128,0.06291354760709762,-0.013486372531800437,-0.004984400962887925,0.023324748465169215,0.1122603264587943,-0.033727162966966276,0.01641637989440229,0.009477987729119088,0.045378523431136054,0.007260451262722927,0.04231473036618664,-0.061094483507237556,0.06623389257711934,-0.07367901350880339,-0.011624015071135424,-0.05436611404972265,-0.03474307545871528,0.0029210433597567126,-0.08214819834428677,0.02276006563292413,0.026730717688920803,-0.04876733725654418,0.005910870218806157,-0.0019127101004822993,-0.053376280805715326,0.00271464835633973,-0.03608849553118539,-0.020570389372877113,0.02707431760277167,0.03535972143951552,0.09819187341549669,0.010085900458807329,0.0593751162364913,0.014305858219835172,0.037723937810746955,-0.012703477780198643,-0.06229625366956444,-0.014315033285018956,0.07200656599986405,0.06666973545148229,0.011173077986381154,-0.04181052818017234,-0.09948012276538531,0.0022526274097073545,-0.0317656173967316,0.018571523470525108,0.0025197116787298505,0.05862905760852743,-0.0013486146337290976,0.02363758321477351,-0.048798362456952724,-0.0372339645404539,0.03228429994836452,0.03326828633691939,0.07215341697218748,-0.012734584889327693
5,0.013967781165008528,-0.045953679627625824,0.010822215356501862,-0.020303311051260715,0.08547672614732074,-0.006651332490806901,0.09375391835488425,-0.06833743413782112,0.011706070441159623,-0.05368607540290002,0.021283257301723424,0.036160505149364565,0.09685028520180881,0.11790472773523229,-0.004607073608627519,-0.01244659327203551,0.01638113774022884,0.024879752639828785,-0.018873759034262538,-0.06631945982254522,-0.005549710462584788,0.0687290587068608,-0.0334820418270634,-0.05389908707474639,0.050554147258793945,-0.09495517901353513,0.01710159460470824,0.06764415716892763,0.026158241582970115,-0.020739834165243387,-0.05689504533053537,0.08479525261517774,0.07537365582616612,-0.08485203684056133,0.010135241459150514,-0.08161505684951753,-0.04157771715145946,0.0008326842880818634,0.05113050078073023,-0.0793048020431016,0.02855134540407846,-0.05058894845755788,-0.02868609606179675,-0.004814783503623644,0.08270774041750471,-0.09708971285387069,0.03322812887988511,-0.04325479493025961,-0.022742257642201735,0.04239501142600762,0.030905739091289304,-0.10251274270301984,-0.03682157345291442,0.025705461871519526,0.05239208761617694,-0.056107802283680355,-0.019774687015109618,0.03816796023356974,-0.06090097481896073,-0.016826248044044218
6,0.07361507749948386,-0.04607127777063999,0.022471220205177406,0.0046487211662956576,-0.022350257067549735,0.0037010381804889105,-0.09669594476875548,-0.021155256107652013,0.04649231023816539,-0.0012724838077379386,-0.07014422926390419,0.04719063430641608,-0.04307064592626328,0.014116319867085201,0.026052410625729928,-0.029896172405982375,-0.058654826609557585,0.021986890685839967,0.09158061226852565,0.06786890317523143,-0.007844364887981356,0.06233571713070952,-0.10220988449474631,-0.10169723166969828,0.004560716187181097,0.028511873897106577,-0.06884648565990537,0.025844498790554404,0.09793380438782329,0.06260922371580825,-0.02015227407213166,0.02280435695123335,0.04600348987032811,0.010332082418505908,-0.02949866182617451,0.0351296841845901,0.07019152813403245,0.04374738455849558,0.010033586900679733,-0.07520574146779838,-0.02238353263487657,-0.05653036031388399,-0.022169559800073853,-0.017835582864005387,0.04828856830494229,0.03328224374195236,-0.001864712641632296,0.0704857581929091,0.02686426849921155,0.013955709647690023,0.02261646918133455,-0.013712999643913388,-0.009139396186473848,-0.05771057171278945,-0.010318090513573143,0.023379211803552312,0.09205022586806715,0.06083088252295196,-0.06183857169101162,0.03691889268305252
7,7.346175021988428e-05,0.053852882615275516,0.09101059692974067,-0.01850626505397763,-0.06410628733871994,0.01400519561541903,0.07355386102016827,0.002273278154500297,-0.041797105488741236,0.019162739769275097,-0.09233618693827816,0.02804005025021063,0.021920214771584803,-0.00032721632817778336,0.04529946484687337,-0.053848557035586594,0.06067906729848124,-0.0549771827722932,-0.09630441076538626,-0.056287565438047804,0.004725480787947598,-0.005645201814582575,0.05535967104716981,-0.026664177653927038,0.09465145329909604,0.020223094511607656,0.00936059249336278,0.0831840351322578,-0.04788518594096714,-0.06424801959837051,0.01614903397328605,0.08422571400161391,-0.009262877046719721,0.1102673544797503,-0.014314165144482279,0.0739919883923254,0.054839963800998176,0.03304942377983041,-0.01752882339265889,-0.00131389125152115,0.04717601491334109,-0.006673992046423021,0.06473177505160585,-0.015815362188396097,0.0710877933634273,-0.06608068170168,-0.07633611746443375,-0.0032232646342192817,-0.009889963053015224,-0.0803491956221054,0.060857440377860186,0.044190478327290665,0.053986728744708286,0.001729926442210956,-0.07542932374996614,0.10823217578343142,-0.00524840087993491,0.0132708978030756,-0.0914320050458785,0.046021470858578835
8,-0.04395186739091283,-0.07403852484469269,-0.0009916294965069817,-0.05329456585794527,-0.05037014642238267,-0.08517284982486198,0.04318186848784169,-0.0018039881011451498,0.06028149360515258,-0.0031726497138938473,0.026862815967026974,0.05162372508452408,-0.10068516646843026,0.014589098740796289,-0.017814158613519773,-0.013241391758378598,0.00604714013140398,-0.08384538214918594,-0.008157652083912085,-0.007368403042895212,-0.061741052236349875,0.07588988086774426,0.03554096922071994,-0.019279115000025653,0.05457671525597742,-0.04402667208005291,-0.06383261795735817,0.06838562624792617,-0.061029625961630876,-0.07683104458767341,-0.03742345821281677,0.04416887131247266,-0.08490421888081176,0.09109208787907601,-0.01338352499981635,0.03769896482563762,-0.006838424663331881,0.013652918967143414,-0.06419804146936023,-0.037517029631204894,0.005809636543947737,-0.0648477168691995,-0.06203351091657689,0.01823103059264016,0.021799837210696737,0.10506970476108023,-0.02730974797499957,-0.03885000169186127,-0.006048698336090785,-0.015650083652457993,0.05862256892953212,-0.007084065004558972,0.010132190063529447,-0.027634368149942724,-0.009218725671306709,0.08089782823326225,0.031520187205099,0.02965457065942956,0.059493490218134326,0.013534877062604206
9,-0.012606925116120682,0.0017645172453524594,-0.0690198843947235,0.07347842775461307,0.08800658101329725,0.02712878886890705,-0.0957319005592508,0.02405060046143638,0.015188765465310155,0.05511640471279711,-0.06321661561902253,-0.05583030479874751,-0.03497325077441411,-0.0008092452068321312,-0.0807491843816166,-0.06398140520531116,-0.0022217193516526064,-0.002879845594115768,0.024736491863775776,-0.001832264551715631,-0.0023451165885659143,-0.008528407262343184,-0.0481997809889596,0.004003340851268596,-0.0397746891613935,0.10731938497194318,0.05963519410806575,0.011319527927783122,-0.06927056527640243,0.00016669393843744238,-0.011286331154636996,0.07230968843557754,-0.006525186932939558,0.012698573682985341,0.06832096484454885,0.033987526479534576,0.03156963436966882,-0.028219800283481044,0.01573293077804602,-0.0117717057125539,0.09446655773281194,0.09432973699377446,0.012046044130642612,0.05614596089342673,-0.031261869207509826,0.14991212595714287,0.0704255585904263,-0.002184045148030998,0.01149767557585561,0.03152025574329171,0.041779258067055305,-0.06138570253712972,-0.06449993993204349,0.036688712719185494,0.09186097979582548,0.018331499404528065,0.0209055938787659,-0.039495486803450906,-0.011499581807996808,-0.06916985248058313
10,0.06259479383839404,-0.021006187019708824,-0.08429692417569,-0.00726578987733115,-0.07050117805691668,-0.010845439476488354,0.01728201596767699,-0.043204129720706835,0.0031782129422911424,-0.0017199552042322299,-0.050868114774551776,0.11929884753724973,0.03973295711185924,-0.059677371151518194,-0.004845198216570785,-0.05281253185342724,0.022594442192993783,0.012629490982577277,-0.020104466111017297,0.02040490067388439,0.0686209618322865,0.020300948731538888,-0.028561422560241946,0.08337703272711823,-0.081750777495558,-0.028998777943883638,0.05921335044202508,-0.05269790433644169,-0.036922980269246994,-0.01976335527247683,0.03321404179308526,0.05387327744206769,0.04375355626933908,-0.002269214102856347,0.021393150932138685,0.06888406739885461,-0.0385181885898951,0.03115533945436744,0.02557302841616803,-0.015708539024847097,-0.05901887839922246,0.04058248564531654,-0.0704321038831022,0.021288541139505752,-0.014875357422480643,0.019203767093845203,0.10514319873765571,-0.04999730953871415,0.038648294444861585,-0.0922110377289437,-0.005911531835964469,-0.001651404908588646,0.056663462300352435,0.06317736430815682,-0.01676148326304933,-0.01147244888230822,-0.074134957014102,0.11289356378518615,0.03009601243836094,-0.043094826421018195
