PC,sdev
PC1,6.976539986917973
PC2,5.369776845923627
PC3,5.137387162171596
PC4,4.598469577077904
PC5,4.537616150649315
PC6,4.199324031343524
PC7,4.0574677468917955
PC8,3.9455818862798107
PC9,3.8250084478418356
PC10,3.5732991005218073
PC11,3.3289192450600513
PC12,3.2463289910896846
PC13,3.0389200891952157
PC14,2.9428864221834576
PC15,2.7974912793113837
PC16,2.706410050433921
PC17,2.5985231410490615
PC18,2.5225212960529046
PC19,2.4475171004504137
PC20,2.410821700312517
PC21,2.294173275920005
PC22,2.2846583872093973
PC23,2.1918539444600453
PC24,2.092016616223676
PC25,2.0581876276088655
PC26,1.9552592177509682
PC27,1.9331502377977052
PC28,1.9150910724784496
PC29,1.7886634036446878
PC30,1.7727583936459395
PC31,1.6369770700430912
PC32,1.590646705181376
PC33,1.5772152447614871
PC34,1.5418222476256043
PC35,1.4804292068309957
PC36,1.3813593847299217
PC37,1.3373622053540224
PC38,1.319633606898103
PC39,1.2961699740854382
PC40,1.26227669718644
PC41,1.2032000870779993
PC42,1.137763258155616
PC43,1.089892862958278
PC44,1.0787875796476678
PC45,0.997149721463113
PC46,0.9827366946319477
PC47,0.9460076445902602
PC48,0.9417543828246703
PC49,0.9101463002619637
PC50,0.8594841399379871
PC51,0.8300724109630248
PC52,0.8188638216998768
PC53,0.7870846599429133
PC54,0.7446066439534326
PC55,0.7244604754339213
PC56,0.7004892622913588
PC57,0.6656034478952015
PC58,0.6505452080709853
PC59,0.640390058263514
PC60,0.6186380337301038
