"Estado","SHA256_Origen","SHA256_Destino","Bytes_Origen","Bytes_Destino","Origen","Destino"
"PASS","65BA4F1BC511AB4324701B58335DD229AB463003C111B92AD16B413A1F46DA6D","65BA4F1BC511AB4324701B58335DD229AB463003C111B92AD16B413A1F46DA6D","112109","112109","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_02_linguistica_es.png","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_02_linguistica_es.png"
"PASS","E4EC0F86E9EFDF687E8A03589205227CFB089CA0ABA252A6692CA42A03CC1730","E4EC0F86E9EFDF687E8A03589205227CFB089CA0ABA252A6692CA42A03CC1730","28607","28607","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_02_linguistica_es.pdf","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_02_linguistica_es.pdf"
"PASS","D034F35CBCAAAB387C10EC8477C72CCDB2F07F06052413FBDB18B076E16A1BEE","D034F35CBCAAAB387C10EC8477C72CCDB2F07F06052413FBDB18B076E16A1BEE","99422","99422","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_03_hopper_es.png","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_03_hopper_es.png"
"PASS","270A555C72B914F38D5BE82B467B4D24FEB6A1977A8BB5E31F70E280CC0C9EA4","270A555C72B914F38D5BE82B467B4D24FEB6A1977A8BB5E31F70E280CC0C9EA4","34153","34153","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_03_hopper_es.pdf","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_03_hopper_es.pdf"
"PASS","9C60A82ED2D9919440417EF0478DAE4B3F67692DECC65242F8A9BBAE8ECEA5CB","9C60A82ED2D9919440417EF0478DAE4B3F67692DECC65242F8A9BBAE8ECEA5CB","71237","71237","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_04_similitud_es.png","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_04_similitud_es.png"
"PASS","2159FAF9FA77A0C0B2920BE7AF14D1A87E18F0363160C344FB0A5F8F0348FB11","2159FAF9FA77A0C0B2920BE7AF14D1A87E18F0363160C344FB0A5F8F0348FB11","30612","30612","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_04_similitud_es.pdf","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_04_similitud_es.pdf"
"PASS","D62ADEBC07FD7D597D93021696902F4F1E08F6E4AF5C2A6C118790378040EA16","D62ADEBC07FD7D597D93021696902F4F1E08F6E4AF5C2A6C118790378040EA16","109804","109804","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_05_prototipos_es.png","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_05_prototipos_es.png"
"PASS","607CEF09E2BE82853A394134EA31D3DE2027F782BEF6DD732C3387CC178BEDE5","607CEF09E2BE82853A394134EA31D3DE2027F782BEF6DD732C3387CC178BEDE5","32094","32094","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_05_prototipos_es.pdf","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_05_prototipos_es.pdf"
"PASS","D7A8F9020A90C9D09D58B5793C5D2DF5E709DC580B3955B49794909D933D7084","D7A8F9020A90C9D09D58B5793C5D2DF5E709DC580B3955B49794909D933D7084","180215","180215","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_06_pca_es.png","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_06_pca_es.png"
"PASS","F4F858A4AD7BEFFE650050A765CD46D98FB4F1A4D5E3874C32A5B42A204DC46C","F4F858A4AD7BEFFE650050A765CD46D98FB4F1A4D5E3874C32A5B42A204DC46C","31485","31485","[RUTA_DATOS_LOCAL]\Analisis agosto\para_articulos\resultados\graficos español\figura_06_pca_es.pdf","[RUTA_REPOSITORIO_HISTORICO]\outputs\figuras\es\figura_06_pca_es.pdf"
