sha256,tamano_bytes,n_copias,principal,ruta,copiado_al_material_piloto
9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,73,6,PRINCIPAL,Analisis agosto/analisis_piloto/datos_piloto_extra/emb_piloto_t1.rds,02_datos_procesados/datos_piloto_extra/emb_piloto_t1.rds
9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,73,6,COPIA,Analisis agosto/analisis_piloto/datos_piloto_extra/emb_piloto_t2.rds,02_datos_procesados/datos_piloto_extra/emb_piloto_t2.rds
9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,73,6,COPIA,Analisis agosto/analisis_piloto/datos_piloto_extra/emb_piloto_t3.rds,02_datos_procesados/datos_piloto_extra/emb_piloto_t3.rds
9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,73,6,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/emb_piloto_t1.rds,NO_COPIADO
9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,73,6,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/emb_piloto_t2.rds,NO_COPIADO
9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,73,6,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos_piloto_extra/emb_piloto_t3.rds,NO_COPIADO
d6539371266c6e1559494066a801e875b6257a9bc57092ec6e319d53b2aed9f7,597,5,COPIA,Analisis agosto/articulo_1/resultados/tablas/cambios_prototipos.csv,NO_COPIADO
d6539371266c6e1559494066a801e875b6257a9bc57092ec6e319d53b2aed9f7,597,5,COPIA,Analisis agosto/para_articulos/resultados/deepseek/03_cambios_prototipos.csv,NO_COPIADO
d6539371266c6e1559494066a801e875b6257a9bc57092ec6e319d53b2aed9f7,597,5,COPIA,Analisis agosto/para_articulos/resultados/tablas/cambios_prototipos.csv,NO_COPIADO
d6539371266c6e1559494066a801e875b6257a9bc57092ec6e319d53b2aed9f7,597,5,COPIA,Analisis agosto/resultados/deepseek/03_cambios_prototipos.csv,NO_COPIADO
