"efecto","Estimate","SE","df","t","p"
"(Intercept)",97.1465517241383,36.190482224106,23.9939456351609,2.68431216590505,0.0129658094866242
"condicionAudio",21.3749999999999,41.780856309132,27.0667046350991,0.511597939540746,0.613081172166632
"condicionImagen",-18.7652709359608,44.7111778029607,26.4409090924166,-0.419699767665664,0.678095495285439
"tiempoT2",49.6249999999999,21.1255423894685,40.0000000224025,2.34905211355609,0.0238478256899688
"tiempoT3",96.1249999999999,21.1255423894685,40.0000000228837,4.55017903104443,0.0000490293242626718
"demoraND",-13.834482758621,33.4446322782448,18.9999999584029,-0.413653307458252,0.683759726629261
"condicionAudio:tiempoT2",1.37500000000011,29.8760285596741,40.0000000225847,0.0460235200690646,0.963520514021266
"condicionImagen:tiempoT2",-8.76785714285705,30.9246275384395,40.0000000218779,-0.283523451720107,0.778237944306816
"condicionAudio:tiempoT3",-5.4999999999999,29.8760285596741,40.0000000214875,-0.184094080276241,0.85486977601029
"condicionImagen:tiempoT3",-15.5535714285713,30.9246275384395,40.0000000222763,-0.502950970362962,0.617756983023194
