fuente,condicion,tiempo,emmean,SE,df,lower.CL,upper.CL
piloto,Texto,T1,143.66666666667157,31.852117775069726,48.731777527173065,79.64852684014076,207.6848064932024
principal,Texto,T1,88.50000000000051,27.584743157543738,48.731777527177364,33.05866460720169,143.94133539279932
piloto,Audio,T1,133.6666666666657,31.85211777506917,48.73177752717692,69.64852684013614,197.68480649319525
principal,Audio,T1,109.87500000000006,27.584743157543798,48.73177752717633,54.43366460720108,165.31633539279903
piloto,Imagen,T1,97.79999999999927,34.89224681943329,48.73177752717692,27.671641454979095,167.92835854501945
principal,Imagen,T1,74.42857142857159,29.489330856481644,48.73177752717633,15.159290827120735,133.69785203002243
piloto,Texto,T2,116.83333333333684,31.852117775069498,48.731777527173655,52.81519350680652,180.85147315986717
principal,Texto,T2,138.1250000000004,27.584743157543752,48.731777527177066,82.68366460720154,193.56633539279926
piloto,Audio,T2,172.16666666666583,31.852117775069175,48.73177752717677,108.14852684013626,236.18480649319542
principal,Audio,T2,160.87500000000003,27.584743157543773,48.73177752717677,105.43366460720111,216.31633539279895
piloto,Imagen,T2,103.19999999999936,34.89224681943329,48.73177752717677,33.07164145497917,173.32835854501957
principal,Imagen,T2,115.28571428571445,29.48933085648164,48.73177752717633,56.0164336842636,174.5549948871653
piloto,Texto,T3,116.50000000000335,31.8521177750695,48.731777527173655,52.481860173473024,180.51813982653368
principal,Texto,T3,184.62500000000043,27.584743157543755,48.731777527177066,129.18366460720156,240.0663353927993
piloto,Audio,T3,216.83333333333252,31.85211777506917,48.73177752717677,152.81519350680296,280.85147315986205
principal,Audio,T3,200.50000000000003,27.58474315754378,48.73177752717677,145.05866460720108,255.94133539279898
piloto,Imagen,T3,110.59999999999943,34.89224681943329,48.73177752717677,40.471641454979235,180.7283585450196
principal,Imagen,T3,155.00000000000014,29.489330856481637,48.73177752717603,95.7307193985493,214.269280601451
