"id_participante","condicion","tiempo","valor","ajustado","residuo_estandarizado"
"principal_P1","Texto","T1",99,164.944103491901,-65.9441034919006
"principal_P1","Texto","T2",193,181.801246349043,11.1987536509571
"principal_P1","Texto","T3",288,208.229817777614,79.7701822223856
"principal_P2","Texto","T1",42,62.1790609480857,-20.1790609480857
"principal_P2","Texto","T2",90,79.036203805228,10.963796194772
"principal_P2","Texto","T3",91,105.464775233799,-14.4647752337994
"principal_P3","Texto","T1",142,109.963366444649,32.0366335553505
"principal_P3","Texto","T2",143,126.820509301792,16.1794906982082
"principal_P3","Texto","T3",104,153.249080730363,-49.2490807303633
"principal_P4","Texto","T1",186,256.482712816643,-70.4827128166433
"principal_P4","Texto","T2",311,273.339855673786,37.6601443262144
"principal_P4","Texto","T3",401,299.768427102357,101.231572897643
"principal_P5","Texto","T1",28,26.1969031946491,1.80309680535092
"principal_P5","Texto","T2",28,43.0540460517914,-15.0540460517914
"principal_P5","Texto","T3",42,69.4826174803628,-27.4826174803628
"principal_P6","Texto","T1",84,162.929102657708,-78.9291026577081
"principal_P6","Texto","T2",158,179.78624551485,-21.7862455148505
"principal_P6","Texto","T3",331,206.214816943422,124.785183056578
"principal_P7","Texto","T1",36,46.3469115365736,-10.3469115365736
"principal_P7","Texto","T2",66,63.2040543937159,2.79594560628411
"principal_P7","Texto","T3",66,89.6326258222873,-23.6326258222873
"principal_P8","Texto","T1",91,101.90336310788,-10.9033631078797
"principal_P8","Texto","T2",116,118.760505965022,-2.76050596502201
"principal_P8","Texto","T3",154,145.189077393593,8.81092260640656
"principal_P9","Audio","T1",36,70.4777345706919,-34.4777345706919
"principal_P9","Audio","T2",142,116.120591713549,25.879408286451
"principal_P9","Audio","T3",143,157.906305999263,-14.9063059992633
"principal_P10","Audio","T1",154,150.214196152307,3.78580384769262
"principal_P10","Audio","T2",222,195.857053295165,26.1429467048355
"principal_P10","Audio","T3",222,237.642767580879,-15.6427675808788
"principal_P11","Audio","T1",214,193.680642718459,20.3193572815412
"principal_P11","Audio","T2",231,239.323499861316,-8.32349986131595
"principal_P11","Audio","T3",304,281.10921414703,22.8907858529698
"principal_P12","Audio","T1",29,51.7670125389049,-22.7670125389049
"principal_P12","Audio","T2",86,97.409869681762,-11.409869681762
"principal_P12","Audio","T3",141,139.195583967476,1.8044160325237
"principal_P13","Audio","T1",97,135.533475788905,-38.5334757889053
"principal_P13","Audio","T2",194,181.176332931762,12.8236670682376
"principal_P13","Audio","T3",256,222.962047217477,33.0379527825233
"principal_P14","Audio","T1",41,46.8734390844375,-5.87343908443749
"principal_P14","Audio","T2",92,92.5162962272946,-0.516296227294617
"principal_P14","Audio","T3",106,134.302010513009,-28.3020105130089
"principal_P15","Audio","T1",81,85.4463121961215,-4.44631219612154
"principal_P15","Audio","T2",90,131.089169338979,-41.0891693389786
"principal_P15","Audio","T3",202,172.874883624693,29.125116375307
"principal_P16","Audio","T1",227,175.833492472754,51.1665075272457
"principal_P16","Audio","T2",230,221.476349615611,8.52365038438859
"principal_P16","Audio","T3",230,263.262063901326,-33.2620639013257
"principal_P17","Imagen","T1",78,84.7663692958907,-6.7663692958907
"principal_P17","Imagen","T2",102,110.849702629224,-8.84970262922394
"principal_P17","Imagen","T3",153,137.099702629224,15.9002973707761
"principal_P18","Imagen","T1",45,35.8306347512169,9.16936524878309
"principal_P18","Imagen","T2",45,61.9139680845501,-16.9139680845501
"principal_P18","Imagen","T3",73,88.1639680845502,-15.1639680845502
"principal_P19","Imagen","T1",96,133.989961102592,-37.989961102592
"principal_P19","Imagen","T2",146,160.073294435925,-14.0732944359252
"principal_P19","Imagen","T3",262,186.323294435925,75.6767055640748
"principal_P20","Imagen","T1",135,191.849270770118,-56.849270770118
"principal_P20","Imagen","T2",245,217.932604103451,27.0673958965488
"principal_P20","Imagen","T3",325,244.182604103451,80.8173958965488
"principal_P21","Imagen","T1",70,80.1606531034508,-10.1606531034508
"principal_P21","Imagen","T2",122,106.243986436784,15.756013563216
"principal_P21","Imagen","T3",125,132.493986436784,-7.49398643678407
"principal_P22","Imagen","T1",60,40.7242082056843,19.2757917943157
"principal_P22","Imagen","T2",60,66.8075415390175,-6.80754153901754
"principal_P22","Imagen","T3",60,93.0575415390175,-33.0575415390175
"principal_P23","Imagen","T1",37,49.6477833285366,-12.6477833285366
"principal_P23","Imagen","T2",87,75.7311166618698,11.2688833381302
"principal_P23","Imagen","T3",87,101.98111666187,-14.9811166618698
"piloto_P1","Texto","T1",106,97.2976469154398,8.70235308456019
"piloto_P1","Texto","T2",116,114.154789772582,1.84521022741788
"piloto_P1","Texto","T3",123,140.583361201154,-17.5833612011536
"piloto_P10","Audio","T1",84,49.4641544426849,34.5358455573151
"piloto_P10","Audio","T2",80,95.1070115855421,-15.1070115855421
"piloto_P10","Audio","T3",84,136.892725871256,-52.8927258712564
"piloto_P11","Audio","T1",79,97.8241744633037,-18.8241744633037
"piloto_P11","Audio","T2",155,143.467031606161,11.5329683938392
"piloto_P11","Audio","T3",182,185.252745891875,-3.25274589187515
"piloto_P12","Audio","T1",122,176.697064258837,-54.6970642588367
"piloto_P12","Audio","T2",230,222.339921401694,7.66007859830611
"piloto_P12","Audio","T3",338,264.125635687408,73.8743643125918
"piloto_P13","Imagen","T1",93,79.2970813173683,13.7029186826317
"piloto_P13","Imagen","T2",93,105.380414650702,-12.3804146507016
"piloto_P13","Imagen","T3",128,131.630414650702,-3.63041465070157
"piloto_P14","Imagen","T1",90,50.2234978525915,39.7765021474085
"piloto_P14","Imagen","T2",37,76.3068311859248,-39.3068311859248
"piloto_P14","Imagen","T3",86,102.556831185925,-16.5568311859248
"piloto_P15","Imagen","T1",64,53.389927734894,10.610072265106
"piloto_P15","Imagen","T2",80,79.4732610682272,0.526738931772783
"piloto_P15","Imagen","T3",80,105.723261068227,-25.7232610682272
"piloto_P16","Imagen","T1",17,33.2399193929695,-16.2399193929695
"piloto_P16","Imagen","T2",64,59.3232527263027,4.67674727369728
"piloto_P16","Imagen","T3",73,85.5732527263027,-12.5732527263027
"piloto_P17","Imagen","T1",225,176.880693144688,48.1193068553116
"piloto_P17","Imagen","T2",242,202.964026478022,39.0359735219783
"piloto_P17","Imagen","T3",186,229.214026478022,-43.2140264780217
"piloto_P2","Texto","T1",147,85.7833564343401,61.2166435656599
"piloto_P2","Texto","T2",79,102.640499291482,-23.6404992914824
"piloto_P2","Texto","T3",79,129.069070720054,-50.0690707200539
"piloto_P3","Texto","T1",133,99.6005050116598,33.3994949883402
"piloto_P3","Texto","T2",110,116.457647868802,-6.45764786880207
"piloto_P3","Texto","T3",110,142.886219297374,-32.8862192973735
"piloto_P4","Texto","T1",234,201.214118507365,32.7858814926353
"piloto_P4","Texto","T2",236,218.071261364507,17.928738635493
"piloto_P4","Texto","T3",236,244.499832793078,-8.49983279307844
"piloto_P5","Texto","T1",163,79.7383539317628,83.2616460682372
"piloto_P5","Texto","T2",81,96.5954967889051,-15.5954967889051
"piloto_P5","Texto","T3",40,123.024068217476,-83.0240682174765
"piloto_P6","Texto","T1",79,75.4204950013504,3.57950499864964
"piloto_P6","Texto","T2",79,92.2776378584927,-13.2776378584927
"piloto_P6","Texto","T3",111,118.706209287064,-7.7062092870641
"piloto_P7","Audio","T1",245,228.511371423785,16.4886285762145
"piloto_P7","Audio","T2",247,274.154228566643,-27.1542285666426
"piloto_P7","Audio","T3",378,315.939942852357,62.0600571476431
"piloto_P8","Audio","T1",161,115.959181971036,45.0408180289642
"piloto_P8","Audio","T2",159,161.602039113893,-2.60203911389291
"piloto_P8","Audio","T3",159,203.387753399607,-44.3877533996072
"piloto_P9","Audio","T1",111,102.717747917771,8.28225208222889
"piloto_P9","Audio","T2",162,148.360605060628,13.6393949393718
"piloto_P9","Audio","T3",160,190.146319346343,-30.1463193463425
