variable,fuente,condicion,tiempo,n,media,sd,mediana,minimo,maximo
n_palabras_calculado,piloto,Texto,T1,6,143.66666666666666,53.40287133354036,140,79,234
n_palabras_calculado,piloto,Texto,T2,6,116.83333333333333,60.65448595666001,95.5,79,236
n_palabras_calculado,piloto,Texto,T3,6,116.5,65.80805421830978,110.5,40,236
n_palabras_calculado,piloto,Audio,T1,6,133.66666666666666,62.0440703586303,116.5,79,245
n_palabras_calculado,piloto,Audio,T2,6,172.16666666666666,60.01805283968039,160.5,80,247
n_palabras_calculado,piloto,Audio,T3,6,216.83333333333334,114.9685464232138,171,84,378
n_palabras_calculado,piloto,Imagen,T1,5,97.8,77.35437932011348,90,17,225
n_palabras_calculado,piloto,Imagen,T2,5,103.2,80.3535935724097,80,37,242
n_palabras_calculado,piloto,Imagen,T3,5,110.6,47.28424684818402,86,73,186
n_estimulos,piloto,Texto,T1,6,0,0,0,0,0
n_estimulos,piloto,Texto,T2,6,1,0,1,1,1
n_estimulos,piloto,Texto,T3,6,3,0,3,3,3
n_estimulos,piloto,Audio,T1,6,0,0,0,0,0
n_estimulos,piloto,Audio,T2,6,1,0,1,1,1
n_estimulos,piloto,Audio,T3,6,3,0,3,3,3
n_estimulos,piloto,Imagen,T1,5,0,0,0,0,0
n_estimulos,piloto,Imagen,T2,5,1,0,1,1,1
n_estimulos,piloto,Imagen,T3,5,3,0,3,3,3
n_palabras,principal,Texto,T1,8,88.5,54.881690936048976,87.5,28,186
n_palabras,principal,Texto,T2,8,138.125,87.38328951071988,129.5,28,311
n_palabras,principal,Texto,T3,8,184.625,136.03984447842583,129,42,401
n_palabras,principal,Audio,T1,8,109.875,79.50640135953115,89,29,227
n_palabras,principal,Audio,T2,8,160.875,65.74721612792004,168,86,231
n_palabras,principal,Audio,T3,8,200.5,66.44439135741364,212,106,304
n_palabras,principal,Imagen,T1,7,74.42857142857143,33.27089390071119,70,37,135
n_palabras,principal,Imagen,T2,7,115.28571428571429,66.81744853383304,102,45,245
n_palabras,principal,Imagen,T3,7,155,101.34594219799824,125,60,325
n_palabras_calculado,principal,Texto,T1,8,88.5,54.881690936048976,87.5,28,186
n_palabras_calculado,principal,Texto,T2,8,138.125,87.38328951071988,129.5,28,311
n_palabras_calculado,principal,Texto,T3,8,184.625,136.03984447842583,129,42,401
n_palabras_calculado,principal,Audio,T1,8,109.875,79.50640135953115,89,29,227
n_palabras_calculado,principal,Audio,T2,8,160.875,65.74721612792004,168,86,231
n_palabras_calculado,principal,Audio,T3,8,200.5,66.44439135741364,212,106,304
n_palabras_calculado,principal,Imagen,T1,7,74.42857142857143,33.27089390071119,70,37,135
n_palabras_calculado,principal,Imagen,T2,7,115.28571428571429,66.81744853383304,102,45,245
n_palabras_calculado,principal,Imagen,T3,7,155,101.34594219799824,125,60,325
n_estimulos,principal,Texto,T1,8,0,0,0,0,0
n_estimulos,principal,Texto,T2,8,1,0,1,1,1
n_estimulos,principal,Texto,T3,8,3,0,3,3,3
n_estimulos,principal,Audio,T1,8,0,0,0,0,0
n_estimulos,principal,Audio,T2,8,1,0,1,1,1
n_estimulos,principal,Audio,T3,8,3,0,3,3,3
n_estimulos,principal,Imagen,T1,7,0,0,0,0,0
n_estimulos,principal,Imagen,T2,7,1,0,1,1,1
n_estimulos,principal,Imagen,T3,7,3,0,3,3,3
