"prototipo","media_delta","sd_delta","mediana_delta"
"tristeza",0.025,0.0715,0.0162
"duda",0.0195,0.0595,0.0028
"esperanza",0.016,0.0621,0.0055
"soledad",-0.0143,0.0828,0.0005
"agencia",0.0135,0.0667,0.0028
"incertidumbre",0.0119,0.0482,0.0045
"miedo",0.0114,0.0586,0.0059
"control",0.0096,0.0541,0.0018
"evitacion",0.0075,0.0554,0
"afrontamiento",0.0062,0.0702,0
"confianza",0.0057,0.0477,0.0053
"espera",0.0048,0.0479,0.0025
"pasividad",-0.0029,0.0547,0
"espacio",-0.0023,0.0749,0
"desconexion",-0.0016,0.0564,0
"objetos",-0.0011,0.0651,0
"incomunicacion",0.0002,0.0406,0.0048
