"id_participante","fuente","condicion","demora","cambio_semantico_t1t2","cambio_semantico_t2t3","cambio_semantico_total","cambio_n_palabras_t1t2","cambio_n_palabras_t2t3","cambio_n_palabras_total","cambio_n_palabras_calculado_t1t2","cambio_n_palabras_calculado_t2t3","cambio_n_palabras_calculado_total","cambio_n_tokens_t1t2","cambio_n_tokens_t2t3","cambio_n_tokens_total","cambio_ttr_t1t2","cambio_ttr_t2t3","cambio_ttr_total","cambio_n_oraciones_t1t2","cambio_n_oraciones_t2t3","cambio_n_oraciones_total","cambio_palabras_oracion_t1t2","cambio_palabras_oracion_t2t3","cambio_palabras_oracion_total","cambio_long_palabra_t1t2","cambio_long_palabra_t2t3","cambio_long_palabra_total","cambio_joy_t1t2","cambio_joy_t2t3","cambio_joy_t1t3","cambio_sadness_t1t2","cambio_sadness_t2t3","cambio_sadness_t1t3","cambio_fear_t1t2","cambio_fear_t2t3","cambio_fear_t1t3","cambio_anger_t1t2","cambio_anger_t2t3","cambio_anger_t1t3","cambio_anticipation_t1t2","cambio_anticipation_t2t3","cambio_anticipation_t1t3","cambio_trust_t1t2","cambio_trust_t2t3","cambio_trust_t1t3","cambio_surprise_t1t2","cambio_surprise_t2t3","cambio_surprise_t1t3","cambio_disgust_t1t2","cambio_disgust_t2t3","cambio_disgust_t1t3","cambio_palabras_t1t2","cambio_palabras_t2t3","cambio_palabras_total","cambio_bing_t1t2","cambio_bing_t2t3","pct_cambio_n_palabras_t1t2","pct_cambio_n_palabras_t2t3","pct_cambio_n_palabras_calculado_t1t2","pct_cambio_n_palabras_calculado_t2t3","score_soledad_t1","score_soledad_t2","score_soledad_t3","score_espera_t1","score_espera_t2","score_espera_t3","score_incomunicacion_t1","score_incomunicacion_t2","score_incomunicacion_t3","score_objetos_t1","score_objetos_t2","score_objetos_t3","score_emociones_negativas_t1","score_emociones_negativas_t2","score_emociones_negativas_t3","score_luz_sombra_t1","score_luz_sombra_t2","score_luz_sombra_t3","score_pasividad_t1","score_pasividad_t2","score_pasividad_t3","score_desconexion_t1","score_desconexion_t2","score_desconexion_t3","score_duda_t1","score_duda_t2","score_duda_t3","score_espacio_t1","score_espacio_t2","score_espacio_t3","score_influencia_T2","score_influencia_T3","score_complejidad"
"principal_P1","principal","Texto","ND",0.00576569921446179,0.000000000000000111022302462516,0.00576569921446179,94,95,189,94,95,189,46,47,93,-0.0857,-0.0476000000000001,-0.1333,1,2,3,7.83,-2.73,5.1,0.100000000000001,-0.11,-0.00999999999999979,3,1,4,1,2,3,2,2,4,0,1,1,1,1,2,4,0,4,0,0,0,1,1,2,94,95,189,1,2,94.9494949494949,49.2227979274611,94.9494949494949,49.2227979274611,2,3,4,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,-7.5,9,8.03
"principal_P2","principal","Texto","D",0.383332852326113,0.314205645007189,0.391723017856324,48,1,49,48,1,49,27,-4,23,-0.1544,0.0259,-0.1285,0,0,0,27,-4,23,0.55,-0.109999999999999,0.44,1,1,2,-1,1,0,-1,2,1,0,3,3,4,-1,3,0,2,2,2,-1,1,0,2,2,48,1,49,-1,1,114.285714285714,1.11111111111111,114.285714285714,1.11111111111111,3,5,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,-1.5,1.5,28.1
"principal_P3","principal","Texto","ND",0.00437335043598264,0.111363913778043,0.101681034082365,1,-39,-38,1,-39,-38,1,-18,-17,-0.0115999999999999,0.0340999999999999,0.0225,1,-4,-3,-1.4,6.57,5.17,-0.0500000000000007,-0.47,-0.52,0,-1,-1,0,-3,-3,0,-3,-3,0,0,0,0,-3,-3,0,-2,-2,0,0,0,0,0,0,1,-39,-38,0,-3,0.704225352112676,-27.2727272727273,0.704225352112676,-27.2727272727273,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,-6.5,-1.5
"principal_P4","principal","Texto","ND",0,0,0,125,90,215,125,90,215,55,39,94,-0.2215,-0.1127,-0.3342,3,3,6,0.420000000000002,-1.26,-0.84,0.12,-0.0499999999999998,0.0700000000000003,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,1,3,0,1,1,0,0,0,125,90,215,0,1,67.2043010752688,28.9389067524116,67.2043010752688,28.9389067524116,2,2,2,0,0,0,0,0,0,2,4,5,0,0,0,1,1,1,1,2,3,0,0,0,0,0,0,1,2,3,-3,3.5,0.660000000000002
"principal_P5","principal","Texto","ND",0,0.0396859670673286,0.0396859670673286,0,14,14,0,14,14,0,7,7,0,0.00380000000000003,0.00380000000000003,0,0,0,0,7,7,0,-0.51,-0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,50,0,50,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"principal_P6","principal","Texto","D",0.0194042686045579,0.0104465496058757,0.0216811214109106,74,173,247,74,173,247,37,76,113,-0.0382,-0.0361,-0.0743,1,1,2,-2,12.33,10.33,-0.0699999999999994,-0.32,-0.39,0,0,0,0,5,5,0,2,2,0,1,1,2,0,2,0,3,3,0,0,0,2,3,5,74,173,247,0,5,88.0952380952381,109.493670886076,88.0952380952381,109.493670886076,2,4,7,0,0,0,0,0,0,2,3,4,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,1,2,3,2,11.5,-2.14
"principal_P7","principal","Texto","D",0.0545272900335543,0.0056750766878344,0.0715855815287056,30,0,30,30,0,30,15,2,17,-0.0312,-0.0864,-0.1176,2,0,2,-6.33,0.66,-5.67,-0.38,-0.32,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,83.3333333333333,0,83.3333333333333,0,2,2,3,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,3,3,0,0,-7.09
"principal_P8","principal","Texto","ND",0.167400251793786,0,0.167400251793786,25,38,63,25,38,63,14,17,31,-0.0914999999999999,-0.0118,-0.1033,0,1,1,14,-18,-4,0.36,-0.19,0.17,0,0,0,0,1,1,0,2,2,0,2,2,0,1,1,-1,2,1,0,2,2,0,1,1,25,38,63,0,1,27.4725274725275,32.7586206896552,27.4725274725275,32.7586206896552,2,2,3,0,0,0,0,0,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,8,11,1.5,9.5,14.72
"principal_P9","principal","Audio","ND",0.180761006022208,0.0210171952321354,0.182199182074912,106,1,107,106,1,107,50,-1,49,-0.0597,-0.0161,-0.0758,0,0,0,50,-1,49,0.56,-0.04,0.52,3,1,4,0,0,0,0,0,0,0,0,0,2,1,3,2,1,3,0,0,0,0,0,0,106,1,107,0,0,294.444444444444,0.704225352112676,294.444444444444,0.704225352112676,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,2,1,-7.5,0,51.12
"principal_P10","principal","Audio","ND",0.000000000000000222044604925031,0.000000000000000222044604925031,0.000000000000000222044604925031,68,0,68,68,0,68,35,0,35,-0.0524,0,-0.0524,1,0,1,0.5,0,0.5,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,68,0,68,0,0,44.1558441558442,0,44.1558441558442,0,3,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2.5,0,0.779999999999999
