"fuente","condicion","demora","iteracion","metrica","n","Media","SD","Mediana","Min","Max"
"piloto","Audio",NA,1,"n_palabras",0,NA,NA,NA,NA,NA
"piloto","Audio",NA,1,"n_palabras_calculado",6,133.666666666667,62.0440703586303,116.5,79,245
"piloto","Audio",NA,1,"ttr",6,0.862516666666667,0.0884055748619207,0.8987,0.7064,0.9444
"piloto","Audio",NA,2,"n_palabras",0,NA,NA,NA,NA,NA
"piloto","Audio",NA,2,"n_palabras_calculado",6,172.166666666667,60.0180528396804,160.5,80,247
"piloto","Audio",NA,2,"ttr",6,0.84645,0.0788207523435294,0.8601,0.7091,0.9211
"piloto","Audio",NA,3,"n_palabras",0,NA,NA,NA,NA,NA
"piloto","Audio",NA,3,"n_palabras_calculado",6,216.833333333333,114.968546423214,171,84,378
"piloto","Audio",NA,3,"ttr",6,0.827733333333333,0.10904647938685,0.84405,0.625,0.925
"piloto","Imagen",NA,1,"n_palabras",0,NA,NA,NA,NA,NA
"piloto","Imagen",NA,1,"n_palabras_calculado",5,97.8,77.3543793201135,90,17,225
"piloto","Imagen",NA,1,"ttr",5,0.81758,0.112885769696627,0.7826,0.7083,1
"piloto","Imagen",NA,2,"n_palabras",0,NA,NA,NA,NA,NA
"piloto","Imagen",NA,2,"n_palabras_calculado",5,103.2,80.3535935724097,80,37,242
"piloto","Imagen",NA,2,"ttr",5,0.85636,0.117425648816602,0.8298,0.7083,1
"piloto","Imagen",NA,3,"n_palabras",0,NA,NA,NA,NA,NA
"piloto","Imagen",NA,3,"n_palabras_calculado",5,110.6,47.284246848184,86,73,186
"piloto","Imagen",NA,3,"ttr",5,0.84814,0.073842961749919,0.8298,0.7901,0.9706
"piloto","Texto",NA,1,"n_palabras",0,NA,NA,NA,NA,NA
"piloto","Texto",NA,1,"n_palabras_calculado",6,143.666666666667,53.4028713335404,140,79,234
"piloto","Texto",NA,1,"ttr",6,0.784466666666667,0.0656010264147343,0.7707,0.6923,0.8718
"piloto","Texto",NA,2,"n_palabras",0,NA,NA,NA,NA,NA
"piloto","Texto",NA,2,"n_palabras_calculado",6,116.833333333333,60.65448595666,95.5,79,236
"piloto","Texto",NA,2,"ttr",6,0.841633333333333,0.0733411935181496,0.87875,0.7193,0.9024
"piloto","Texto",NA,3,"n_palabras",0,NA,NA,NA,NA,NA
"piloto","Texto",NA,3,"n_palabras_calculado",6,116.5,65.8080542183098,110.5,40,236
"piloto","Texto",NA,3,"ttr",6,0.861666666666667,0.0992362769689929,0.87975,0.7193,1
"principal","Audio","D",1,"n_palabras",3,113.333333333333,93.5752816364094,97,29,214
"principal","Audio","D",1,"n_palabras_calculado",3,113.333333333333,93.5752816364094,97,29,214
"principal","Audio","D",1,"ttr",3,0.8685,0.114112882708308,0.81,0.7955,1
"principal","Audio","D",2,"n_palabras",3,170.333333333333,75.3414449910097,194,86,231
"principal","Audio","D",2,"n_palabras_calculado",3,170.333333333333,75.3414449910097,194,86,231
"principal","Audio","D",2,"ttr",3,0.808366666666667,0.0381253633862463,0.8056,0.7717,0.8478
"principal","Audio","D",3,"n_palabras",3,233.666666666667,83.7635561168062,256,141,304
"principal","Audio","D",3,"n_palabras_calculado",3,233.666666666667,83.7635561168062,256,141,304
"principal","Audio","D",3,"ttr",3,0.7837,0.0275501361158162,0.7838,0.7561,0.8112
"principal","Audio","ND",1,"n_palabras",5,107.8,81.6682312775292,81,36,227
"principal","Audio","ND",1,"n_palabras_calculado",5,107.8,81.6682312775292,81,36,227
"principal","Audio","ND",1,"ttr",5,0.82126,0.141076621025597,0.8222,0.6239,1
"principal","Audio","ND",2,"n_palabras",5,155.2,67.9646967182228,142,90,230
"principal","Audio","ND",2,"n_palabras_calculado",5,155.2,67.9646967182228,142,90,230
"principal","Audio","ND",2,"ttr",5,0.81032,0.113747624151012,0.8269,0.6273,0.9403
"principal","Audio","ND",3,"n_palabras",5,180.6,53.8312177086865,202,106,230
"principal","Audio","ND",3,"n_palabras_calculado",5,180.6,53.8312177086865,202,106,230
"principal","Audio","ND",3,"ttr",5,0.80066,0.114142730824175,0.8431,0.6273,0.9242
"principal","Imagen","D",1,"n_palabras",5,83.2,35.9958330921789,78,37,135
"principal","Imagen","D",1,"n_palabras_calculado",5,83.2,35.9958330921789,78,37,135
"principal","Imagen","D",1,"ttr",5,0.84408,0.159955859536311,0.9375,0.6613,0.9722
"principal","Imagen","D",2,"n_palabras",5,140.4,62.5243952389785,122,87,245
"principal","Imagen","D",2,"n_palabras_calculado",5,140.4,62.5243952389785,122,87,245
"principal","Imagen","D",2,"ttr",5,0.7978,0.0717959608891754,0.8293,0.7073,0.8684
"principal","Imagen","D",3,"n_palabras",5,190.4,99.5128132453304,153,87,325
"principal","Imagen","D",3,"n_palabras_calculado",5,190.4,99.5128132453304,153,87,325
"principal","Imagen","D",3,"ttr",5,0.77376,0.0755777612793604,0.7385,0.7063,0.8684
"principal","Imagen","ND",1,"n_palabras",2,52.5,10.6066017177982,52.5,45,60
"principal","Imagen","ND",1,"n_palabras_calculado",2,52.5,10.6066017177982,52.5,45,60
"principal","Imagen","ND",1,"ttr",2,0.9373,0.0398808224589213,0.9373,0.9091,0.9655
"principal","Imagen","ND",2,"n_palabras",2,52.5,10.6066017177982,52.5,45,60
"principal","Imagen","ND",2,"n_palabras_calculado",2,52.5,10.6066017177982,52.5,45,60
"principal","Imagen","ND",2,"ttr",2,0.9373,0.0398808224589213,0.9373,0.9091,0.9655
"principal","Imagen","ND",3,"n_palabras",2,66.5,9.19238815542512,66.5,60,73
"principal","Imagen","ND",3,"n_palabras_calculado",2,66.5,9.19238815542512,66.5,60,73
