"id_participante","fuente","condicion","demora","joy_t1","sadness_t1","fear_t1","anger_t1","anticipation_t1","trust_t1","surprise_t1","disgust_t1","joy_t2","sadness_t2","fear_t2","anger_t2","anticipation_t2","trust_t2","surprise_t2","disgust_t2","joy_t3","sadness_t3","fear_t3","anger_t3","anticipation_t3","trust_t3","surprise_t3","disgust_t3","bing_t1","bing_t2","bing_t3"
"principal_P1","principal","Texto","ND",2,0,0,0,1,2,0,0,5,1,2,0,2,6,0,1,6,3,4,1,3,6,0,2,0,1,3
"principal_P2","principal","Texto","D",0,3,2,0,0,0,0,0,1,2,1,0,4,0,2,0,2,3,3,3,3,2,1,2,3,2,3
"principal_P3","principal","Texto","ND",2,3,3,0,4,2,0,0,2,3,3,0,4,2,0,0,1,0,0,0,1,0,0,0,3,3,0
"principal_P4","principal","Texto","ND",0,1,2,0,1,1,1,0,0,1,2,0,1,3,1,0,0,2,2,0,2,4,2,0,1,1,2
"principal_P5","principal","Texto","ND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"principal_P6","principal","Texto","D",1,1,0,0,0,1,0,0,1,1,0,0,2,1,0,2,1,6,2,1,2,4,0,5,1,1,6
"principal_P7","principal","Texto","D",2,1,1,0,1,4,0,2,2,1,1,0,2,4,0,2,2,1,1,0,1,4,0,2,1,1,1
"principal_P8","principal","Texto","ND",1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,2,2,1,3,2,1,0,0,1
"principal_P9","principal","Audio","ND",0,0,0,1,0,2,0,0,3,0,0,1,2,4,0,0,4,0,0,1,3,5,0,0,0,0,0
"principal_P10","principal","Audio","ND",2,1,1,0,1,7,0,0,2,1,1,0,2,10,0,0,2,1,1,0,2,10,0,0,1,1,1
"principal_P11","principal","Audio","D",5,5,1,0,6,7,3,2,5,6,1,0,6,7,3,2,6,7,2,1,8,9,4,3,5,6,7
"principal_P12","principal","Audio","D",1,0,0,0,1,2,0,1,2,0,0,0,1,2,2,0,4,0,1,0,3,5,4,1,0,0,0
"principal_P13","principal","Audio","D",5,7,4,5,3,2,4,5,10,12,9,7,5,4,5,10,13,13,10,8,6,6,6,11,7,12,13
"principal_P14","principal","Audio","ND",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1
"principal_P15","principal","Audio","ND",1,2,2,0,1,1,1,1,1,2,2,0,1,1,1,1,3,4,8,1,3,3,2,2,2,2,4
"principal_P16","principal","Audio","ND",2,5,3,1,9,3,6,3,2,5,3,1,9,3,6,3,2,5,3,1,9,3,6,3,5,5,5
"principal_P17","principal","Imagen","D",0,3,2,2,1,0,1,1,0,6,3,3,1,2,0,5,0,6,5,3,3,3,1,2,3,6,6
"principal_P18","principal","Imagen","ND",2,0,0,0,1,3,1,0,2,0,0,0,1,3,1,0,3,1,0,0,2,5,1,1,0,0,1
"principal_P19","principal","Imagen","D",3,1,0,0,1,4,1,0,5,3,2,1,4,4,2,2,7,4,5,3,5,7,3,5,1,3,4
"principal_P20","principal","Imagen","D",1,3,2,1,1,1,0,1,4,8,5,4,6,3,3,3,5,11,6,4,7,4,4,6,3,8,11
"principal_P21","principal","Imagen","D",1,1,1,0,1,3,0,0,0,4,2,1,5,3,1,0,2,5,4,2,3,2,1,5,1,4,5
"principal_P22","principal","Imagen","ND",0,3,3,1,3,2,0,1,0,3,3,1,3,2,0,1,0,2,2,1,2,2,0,1,3,3,2
"principal_P23","principal","Imagen","D",1,1,0,0,0,0,0,0,1,1,1,1,0,2,0,1,1,1,1,1,0,2,0,1,1,1,1
"piloto_P1","piloto","Texto",NA,2,1,1,0,2,2,0,1,1,0,0,0,1,1,1,0,1,0,0,0,2,1,0,0,1,0,0
"piloto_P10","piloto","Audio",NA,1,2,2,0,2,2,0,0,1,1,1,0,1,2,0,0,1,1,1,0,1,2,0,0,2,1,1
"piloto_P11","piloto","Audio",NA,2,4,2,1,4,3,1,1,2,8,6,1,6,3,3,2,2,8,6,1,7,3,3,2,4,8,8
"piloto_P12","piloto","Audio",NA,3,3,1,1,4,5,2,2,4,3,3,2,5,6,3,3,4,4,4,3,6,8,4,5,3,3,4
"piloto_P13","piloto","Imagen",NA,1,2,0,0,0,3,0,0,1,2,0,0,0,3,0,0,1,0,0,1,2,3,0,1,2,2,0
"piloto_P14","piloto","Imagen",NA,2,2,0,0,0,1,0,0,0,2,2,2,1,0,1,2,1,2,2,2,1,1,1,2,2,2,2
"piloto_P15","piloto","Imagen",NA,0,6,4,2,0,0,0,2,1,7,7,3,0,0,0,4,1,7,7,3,0,0,0,4,6,7,7
"piloto_P16","piloto","Imagen",NA,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
"piloto_P17","piloto","Imagen",NA,3,3,2,2,4,3,1,1,4,3,2,2,3,3,1,1,6,2,1,1,4,3,2,3,3,3,2
"piloto_P2","piloto","Texto",NA,6,1,0,0,7,6,1,0,2,4,5,5,3,2,3,4,2,4,5,5,3,2,3,4,1,4,4
"piloto_P3","piloto","Texto",NA,0,4,8,5,8,0,4,2,0,5,7,4,4,2,3,3,0,5,7,4,4,2,3,3,4,5,5
"piloto_P4","piloto","Texto",NA,9,4,4,2,8,6,4,4,9,4,4,2,8,6,4,4,9,4,4,2,8,6,4,4,4,4,4
"piloto_P5","piloto","Texto",NA,2,8,6,4,6,1,1,7,0,4,3,0,3,0,1,3,0,2,1,0,1,0,1,1,8,4,2
"piloto_P6","piloto","Texto",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,2
"piloto_P7","piloto","Audio",NA,4,2,3,0,4,3,1,0,4,4,4,2,4,3,2,2,4,6,5,2,4,4,2,3,2,4,6
"piloto_P8","piloto","Audio",NA,1,5,8,5,3,2,2,3,1,5,8,5,3,2,2,3,1,5,8,5,3,2,2,3,5,5,5
"piloto_P9","piloto","Audio",NA,3,3,4,2,4,4,3,3,4,3,4,2,5,5,5,4,4,3,4,2,5,5,5,4,3,3,3
