"id_participante","fuente","condicion","demora"
"principal_P1","principal","Texto","ND"
"principal_P2","principal","Texto","D"
"principal_P3","principal","Texto","ND"
"principal_P4","principal","Texto","ND"
"principal_P5","principal","Texto","ND"
"principal_P6","principal","Texto","D"
"principal_P7","principal","Texto","D"
"principal_P8","principal","Texto","ND"
"principal_P9","principal","Audio","ND"
"principal_P10","principal","Audio","ND"
"principal_P11","principal","Audio","D"
"principal_P12","principal","Audio","D"
"principal_P13","principal","Audio","D"
"principal_P14","principal","Audio","ND"
"principal_P15","principal","Audio","ND"
"principal_P16","principal","Audio","ND"
"principal_P17","principal","Imagen","D"
"principal_P18","principal","Imagen","ND"
"principal_P19","principal","Imagen","D"
"principal_P20","principal","Imagen","D"
"principal_P21","principal","Imagen","D"
"principal_P22","principal","Imagen","ND"
"principal_P23","principal","Imagen","D"
"piloto_P1","piloto","Texto",NA
"piloto_P10","piloto","Audio",NA
"piloto_P11","piloto","Audio",NA
"piloto_P12","piloto","Audio",NA
"piloto_P13","piloto","Imagen",NA
"piloto_P14","piloto","Imagen",NA
"piloto_P15","piloto","Imagen",NA
"piloto_P16","piloto","Imagen",NA
"piloto_P17","piloto","Imagen",NA
"piloto_P2","piloto","Texto",NA
"piloto_P3","piloto","Texto",NA
"piloto_P4","piloto","Texto",NA
"piloto_P5","piloto","Texto",NA
"piloto_P6","piloto","Texto",NA
"piloto_P7","piloto","Audio",NA
"piloto_P8","piloto","Audio",NA
"piloto_P9","piloto","Audio",NA
